Center Name,Permit Holder,Address,Borough,Zip Code,Phone,Permit Number,Permit Expiration Date,Permit Status,Age Range,Maximum Capacity,Certified to Administer Medication,Site Type,Lon,Lat
LITTLE PICKLES  DAY CARE CENTER / LITTLE PICKLES,ERL GROUP LLC,2169 CONEY ISLAND AVENUE,BROOKLYN,11223,718-676-1725,13237 / 32577,3/6/2014 / 2/14/2015,  Expired-InRenewal /   Permitted,0 YEARS - 5 YEARS,32,No,Private,-73.961371,40.60421
1199 FUTURE OF AMERCIA  LEARNING CENTER / 1199 FUTURE OF AMERICA LEARNING CENTER,1199 SEIU CHILD CARE CORPORATION / 1199 S E I U CHILD CARE CORPORATION,2500 CRESTON AVENUE,BRONX,10468,718-562-2915,7455 / 7457,7/31/2015 / 10/31/2015,  Permitted /   Permitted,0 YEARS - 5 YEARS,132,No,Private,-73.897433,40.862995
123 STEP AHEAD,DENIZKO DAY CARE INC,51-07 69 STREET,QUEENS,11377,718-426-0123,10777,1/9/2016,  Permitted,2 YEARS - 5 YEARS,26,No,Private,-73.895716,40.734911
1332 FULTON  DAY CARE CENTER / UNITED BRONX PARENTS INC,1332 FULTON AVENUE DAY CARE CENTER INC / UNITED BRONX PARENTS INC,1332 FULTON AVENUE,BRONX,10456,718-378-1330,4055 / 29597,11/19/2014 / 12/19/2014,  Permitted /   Permitted,2 YEARS - 5 YEARS,167,No,ACS Contracted Preschools,-73.902497,40.832982
14TH STREET Y PRESCHOOL OF THE EDUCTIONAL ALLIANCE   AKA GANI ECC,THE EDUCATIONAL ALLIANCE INC,344 EAST 14 STREET,MANHATTAN,10003,212-780-0800,6440,7/21/2015,  Permitted,2 YEARS - 5 YEARS,88,No,Private,-73.983362,40.731198
196 ALBANY AVENUE DAY CARE,196 ALBANY AVENUE DAY CARE CENTER INC,196 ALBANY AVENUE,BROOKLYN,11213,718-773-0071,4003,6/19/2015,  Permitted,2 YEARS - 5 YEARS,170,No,ACS Contracted Preschools,-73.939281,40.673992
1ST IMPRESSION CHILDCARE AND  DEVELOPMENT CENTER INC,1ST IMPRESSION CHILDCARE AND DEVELOPMENT CENTER INC,881 GERARD AVENUE,BRONX,10452,718-588-3800,7905,8/19/2014,  Permitted,2 YEARS - 5 YEARS,41,No,Private,-73.924904,40.82826
3467 READY SET  LEARN L L C,3467 READY SET LEARN L L C,3463-67 3 AVENUE,BRONX,10456,718-665-1234,8178,8/11/2014,  Permitted,2 YEARS - 5 YEARS,177,Yes,Private,-73.906675,40.829979
4 ANGELS DAY CARE INC - INFANT PROGRAM / 4 ANGELS DAY CARE INC - PRESCHOOL PROGRAM,4 ANGELS DAY CARE INC,245 SIMONSON AVENUE,STATEN ISLAND,10303,718-876-6498,7533 / 7415,7/5/2015 / 7/5/2015,  Permitted /   Permitted,0 YEARS - 5 YEARS,41,Yes,Private,-74.152139,40.630452
43RD STREET KIDS PRESCHOOL INC,43RD STREET KIDS PRESCHOOL INC,484 WEST 43 STREET,MANHATTAN,10036,212-564-7496,5185,5/16/2014,  Permitted,2 YEARS - 5 YEARS,26,No,Private,-73.994737,40.759735
82ND STREET ACADEMICS,82ND STREET  ACADEMICS INC,81-10 35 AVENUE,QUEENS,11372,718-457-0429,7006,8/11/2014,  Permitted,2 YEARS - 5 YEARS,145,No,Private,-73.885261,40.751499
92ND ST Y NURSERY SCHOOL,92ND ST Y M  Y W H A,1395 LEXINGTON AVENUE,MANHATTAN,10128,212-415-5532,1940,6/13/2014,  Permitted,2 YEARS - 5 YEARS,170,No,Private,-73.952518,40.782934
A  E CAROUSEL DAYCARE,A  E CAROUSEL DAY CAREINC,150 CLERMONT AVENUE,BROOKLYN,11205,718-596-7912,8270,3/31/2015,  Permitted,2 YEARS - 5 YEARS,25,No,Private,-73.97119,40.693517
A B C  ECHO PARK EARLY CHILDHOOD DEVELOPMENT CENTER / ABC ECHO PARK EARLY CHILDHOOD CENTER,ASSOCIATION TO BENEFIT CHILDREN,1841 PARK AVENUE,MANHATTAN,10035,646-459-6028,7309 / 7344,12/15/2014 / 1/28/2016,  Permitted /   Permitted,0 YEARS - 5 YEARS,146,Yes,ACS Head Start / Private,-73.938007,40.805692
A BETTER STARTINC,A BETTER STARTINC,2339 TIEBOUT AVENUE,BRONX,10458,718-676-1796,8404,10/19/2015,  Permitted,2 YEARS - 5 YEARS,29,No,Private,-73.89697,40.857518
A CASTLE FOR  CLASSY KIDS LEARNING CENTER INC,A CASTLE FOR CLASSY KIDS LEARNING CENTER INC,2570 PITKIN AVENUE,BROOKLYN,11208,347-750-8154,8171,5/24/2014,  Permitted,2 YEARS - 5 YEARS,39,No,Private,-73.877353,40.674384
A CHILDS PLACE PRE SCHOOL / A CHILDS PLACE TOO,A CHILDS PLACE TOOINC / A CHILDS PLACE NURSERY,32-20 108 ST,QUEENS,11369,718-565-2170,6966 / 7386,4/2/2016 / 3/25/2015,  Permitted /   Permitted,0 YEARS - 5 YEARS,150,No,Private,-73.861558,40.759308
A CHILDS PLACE TOO INC,A CHILDS PLACE TOO INC,100-10 ASTORIA BLVD,QUEENS,11369,718-446-0200,51781,9/10/2015,  Permitted,2 YEARS - 5 YEARS,45,No,Private,-73.868912,40.761481
A CHILDS HOME DAY CARE,GLORIA PANKY,427 NEW LOTS AVENUE,BROOKLYN,11207,718-927-0373,7395,1/7/2015,  Permitted,2 YEARS - 5 YEARS,24,No,Private,-73.891947,40.662582
A H R C  HOWARD HABER  ELC,N Y S ASSOCIATION FOR RETARDED CHILDRENINC,2300 WESTCHESTER AVENUE,BRONX,10462,718-409-1450,6030,3/17/2015,  Permitted,2 YEARS - 5 YEARS,152,Yes,Private,-73.847994,40.834998
A M A C CHILDRENS HOUSE,A M A C INC,25 WEST 17 STREET,MANHATTAN,10011,212-645-5005,5950,2/9/2015,  Permitted,2 YEARS - 5 YEARS,104,No,Private,-73.993424,40.738803
A NEW DAWN ELEMENTARY  PRE-SCHOOL,A NEW DAWN ELEMENTARY SCHOOLINC,89-14 163 STREET,QUEENS,11432,718-206-1500,6180,5/10/2014,  Permitted,2 YEARS - 5 YEARS,20,No,Private,-73.798176,40.706546
A TO Z CENTER TOO INC,A TO Z CENTER TOO INC,220-24 JAMAICA AVENUE,QUEENS,11428,718-740-8400,7605,6/21/2014,  Permitted,2 YEARS - 5 YEARS,162,No,Private,-73.733509,40.71903
A TO Z DAY CARE CENTER,A TO Z DAY CARE CENTER AND AFTER SCHOOL PROGRAM INCA TO Z DAY CARE CENTER INC,3053 AVENUE U,BROOKLYN,11229,718-368-1234,7960,12/5/2014,  Permitted,2 YEARS - 5 YEARS,54,No,Private,-73.936867,40.601167
A TO Z LEARNING CENTER,A TO Z MANAGEMENT INC,123-21 JAMAICA AVENUE,QUEENS,11418,718-805-4400,6709,10/11/2015,  Permitted,2 YEARS - 5 YEARS,29,No,Private,-73.826688,40.700953
A YOURE ADORABLE,A YOURE ADORABLEINC,3304 GRISWOLD AVENUE,BRONX,10465,718-863-3455,7137,6/9/2015,  Permitted,2 YEARS - 5 YEARS,47,No,Private,-73.816281,40.844624
ABC CASSIDYS PLACE,ASSOCIATION TO BENEFIT CHILDREN,419 EAST 86TH STREET,MANHATTAN,10028,212-831-1322,6390,8/6/2015,  Permitted,2 YEARS - 5 YEARS,120,Yes,Private,-73.948466,40.776743
