Center Name,Permit Holder,Address,Borough,Zip Code,Phone,Permit Number,Permit Expiration Date,Permit Status,Age Range,Maximum Capacity,Certified to Administer Medication,Site Type,Lon,Lat
LITTLE PICKLES  DAY CARE CENTER / LITTLE PICKLES,ERL GROUP LLC,2169 CONEY ISLAND AVENUE,BROOKLYN,11223,718-676-1725,13237 / 32577,3/6/2014 / 2/14/2015,  Expired-InRenewal /   Permitted,0 YEARS - 5 YEARS,32,No,Private,-73.9614,40.6042
1199 FUTURE OF AMERCIA  LEARNING CENTER / 1199 FUTURE OF AMERICA LEARNING CENTER,1199 SEIU CHILD CARE CORPORATION / 1199 S E I U CHILD CARE CORPORATION,2500 CRESTON AVENUE,BRONX,10468,718-562-2915,7455 / 7457,7/31/2015 / 10/31/2015,  Permitted /   Permitted,0 YEARS - 5 YEARS,132,No,Private,-73.8974,40.863
123 STEP AHEAD,DENIZKO DAY CARE INC,51-07 69 STREET,QUEENS,11377,718-426-0123,10777,1/9/2016,  Permitted,2 YEARS - 5 YEARS,26,No,Private,-73.8957,40.7349
1332 FULTON  DAY CARE CENTER / UNITED BRONX PARENTS INC,1332 FULTON AVENUE DAY CARE CENTER INC / UNITED BRONX PARENTS INC,1332 FULTON AVENUE,BRONX,10456,718-378-1330,4055 / 29597,11/19/2014 / 12/19/2014,  Permitted /   Permitted,2 YEARS - 5 YEARS,167,No,ACS Contracted Preschools,-73.9025,40.833
14TH STREET Y PRESCHOOL OF THE EDUCTIONAL ALLIANCE   AKA GANI ECC,THE EDUCATIONAL ALLIANCE INC,344 EAST 14 STREET,MANHATTAN,10003,212-780-0800,6440,7/21/2015,  Permitted,2 YEARS - 5 YEARS,88,No,Private,-73.9834,40.7312
196 ALBANY AVENUE DAY CARE,196 ALBANY AVENUE DAY CARE CENTER INC,196 ALBANY AVENUE,BROOKLYN,11213,718-773-0071,4003,6/19/2015,  Permitted,2 YEARS - 5 YEARS,170,No,ACS Contracted Preschools,-73.9393,40.674
1ST IMPRESSION CHILDCARE AND  DEVELOPMENT CENTER INC,1ST IMPRESSION CHILDCARE AND DEVELOPMENT CENTER INC,881 GERARD AVENUE,BRONX,10452,718-588-3800,7905,8/19/2014,  Permitted,2 YEARS - 5 YEARS,41,No,Private,-73.9249,40.8283
3467 READY SET  LEARN L L C,3467 READY SET LEARN L L C,3463-67 3 AVENUE,BRONX,10456,718-665-1234,8178,8/11/2014,  Permitted,2 YEARS - 5 YEARS,177,Yes,Private,-73.9067,40.83
4 ANGELS DAY CARE INC - INFANT PROGRAM / 4 ANGELS DAY CARE INC - PRESCHOOL PROGRAM,4 ANGELS DAY CARE INC,245 SIMONSON AVENUE,STATEN ISLAND,10303,718-876-6498,7533 / 7415,7/5/2015 / 7/5/2015,  Permitted /   Permitted,0 YEARS - 5 YEARS,41,Yes,Private,-74.1521,40.6305
43RD STREET KIDS PRESCHOOL INC,43RD STREET KIDS PRESCHOOL INC,484 WEST 43 STREET,MANHATTAN,10036,212-564-7496,5185,5/16/2014,  Permitted,2 YEARS - 5 YEARS,26,No,Private,-73.9947,40.7597
82ND STREET ACADEMICS,82ND STREET  ACADEMICS INC,81-10 35 AVENUE,QUEENS,11372,718-457-0429,7006,8/11/2014,  Permitted,2 YEARS - 5 YEARS,145,No,Private,-73.8853,40.7515
92ND ST Y NURSERY SCHOOL,92ND ST Y M  Y W H A,1395 LEXINGTON AVENUE,MANHATTAN,10128,212-415-5532,1940,6/13/2014,  Permitted,2 YEARS - 5 YEARS,170,No,Private,-73.9525,40.7829
A  E CAROUSEL DAYCARE,A  E CAROUSEL DAY CAREINC,150 CLERMONT AVENUE,BROOKLYN,11205,718-596-7912,8270,3/31/2015,  Permitted,2 YEARS - 5 YEARS,25,No,Private,-73.9712,40.6935
A B C  ECHO PARK EARLY CHILDHOOD DEVELOPMENT CENTER / ABC ECHO PARK EARLY CHILDHOOD CENTER,ASSOCIATION TO BENEFIT CHILDREN,1841 PARK AVENUE,MANHATTAN,10035,646-459-6028,7309 / 7344,12/15/2014 / 1/28/2016,  Permitted /   Permitted,0 YEARS - 5 YEARS,146,Yes,ACS Head Start / Private,-73.938,40.8057
A BETTER STARTINC,A BETTER STARTINC,2339 TIEBOUT AVENUE,BRONX,10458,718-676-1796,8404,10/19/2015,  Permitted,2 YEARS - 5 YEARS,29,No,Private,-73.897,40.8575
A CASTLE FOR  CLASSY KIDS LEARNING CENTER INC,A CASTLE FOR CLASSY KIDS LEARNING CENTER INC,2570 PITKIN AVENUE,BROOKLYN,11208,347-750-8154,8171,5/24/2014,  Permitted,2 YEARS - 5 YEARS,39,No,Private,-73.8774,40.6744
A CHILDS PLACE PRE SCHOOL / A CHILDS PLACE TOO,A CHILDS PLACE TOOINC / A CHILDS PLACE NURSERY,32-20 108 ST,QUEENS,11369,718-565-2170,6966 / 7386,4/2/2016 / 3/25/2015,  Permitted /   Permitted,0 YEARS - 5 YEARS,150,No,Private,-73.8616,40.7593
A CHILDS PLACE TOO INC,A CHILDS PLACE TOO INC,100-10 ASTORIA BLVD,QUEENS,11369,718-446-0200,51781,9/10/2015,  Permitted,2 YEARS - 5 YEARS,45,No,Private,-73.8689,40.7615
A CHILDS HOME DAY CARE,GLORIA PANKY,427 NEW LOTS AVENUE,BROOKLYN,11207,718-927-0373,7395,1/7/2015,  Permitted,2 YEARS - 5 YEARS,24,No,Private,-73.8919,40.6626
A H R C  HOWARD HABER  ELC,N Y S ASSOCIATION FOR RETARDED CHILDRENINC,2300 WESTCHESTER AVENUE,BRONX,10462,718-409-1450,6030,3/17/2015,  Permitted,2 YEARS - 5 YEARS,152,Yes,Private,-73.848,40.835
A M A C CHILDRENS HOUSE / AMAC,A M A C INC / ASSOCIATION FOR METROAREA AUTISTIC CHILDREN INC,25 WEST 17 STREET / 25 WEST 17TH STREET,MANHATTAN,10011,212-645-5005,5950 / 19617,2/9/2015 / 7/30/2014,  Permitted /   Permitted,0 YEARS - 5 YEARS,114,No,Private,-73.9934,40.7388
A NEW DAWN ELEMENTARY  PRE-SCHOOL,A NEW DAWN ELEMENTARY SCHOOLINC,89-14 163 STREET,QUEENS,11432,718-206-1500,6180,5/10/2014,  Permitted,2 YEARS - 5 YEARS,20,No,Private,-73.7982,40.7065
A TO Z CENTER TOO INC,A TO Z CENTER TOO INC,220-24 JAMAICA AVENUE,QUEENS,11428,718-740-8400,7605,6/21/2014,  Permitted,2 YEARS - 5 YEARS,162,No,Private,-73.7335,40.719
A TO Z DAY CARE CENTER,A TO Z DAY CARE CENTER AND AFTER SCHOOL PROGRAM INCA TO Z DAY CARE CENTER INC,3053 AVENUE U,BROOKLYN,11229,718-368-1234,7960,12/5/2014,  Permitted,2 YEARS - 5 YEARS,54,No,Private,-73.9369,40.6012
A TO Z LEARNING CENTER,A TO Z MANAGEMENT INC,123-21 JAMAICA AVENUE,QUEENS,11418,718-805-4400,6709,10/11/2015,  Permitted,2 YEARS - 5 YEARS,29,No,Private,-73.8267,40.701
A YOURE ADORABLE,A YOURE ADORABLEINC,3304 GRISWOLD AVENUE,BRONX,10465,718-863-3455,7137,6/9/2015,  Permitted,2 YEARS - 5 YEARS,47,No,Private,-73.8163,40.8446
ABC CASSIDYS PLACE,ASSOCIATION TO BENEFIT CHILDREN,419 EAST 86TH STREET,MANHATTAN,10028,212-831-1322,6390,8/6/2015,  Permitted,2 YEARS - 5 YEARS,120,Yes,Private,-73.9485,40.7767
ABC CHILD CENTER / ABC INFANT  TODDLER CENTER,ABC CHILD CENTERINC / ABC INFANT  TODDLER CENTERINC,109 NASSAU AVENUE,BROOKLYN,11222,718-389-9004,6084 / 43577,7/3/2014 / 6/13/2015,  Permitted /   Permitted,0 YEARS - 5 YEARS,76,No,Private,-73.9497,40.7244
ABC EARLY LEARNING CENTER,ABC EARLY LEARNING CENTER INC,54-25 LITTLE NECK PKWY,QUEENS,11362,718-225-8044,7216,3/31/2014,  Expired-InRenewal,2 YEARS - 5 YEARS,76,No,Private,-73.7254,40.7666
