Center Name,Permit Holder,Address,Borough,Zip Code,Phone,Permit Number,Permit Expiration Date,Permit Status,Age Range,Maximum Capacity,Certified to Administer Medication,Site Type,Total Maximum Capacity,Lat,Lon
LITTLE PICKLES / LITTLE PICKLES  DAY CARE CENTER,ERL GROUP LLC / ERL GROUP LLC,2169 CONEY ISLAND AVENUE,BROOKLYN,11223,718-676-1725 / 718-676-1725,32577 / 13237,02/14/2015 / 03/06/2014,  Permitted /   Expired-InRenewal,0 YEARS - 2 YEARS / 2 YEARS - 5 YEARS,15 / 17,No / No,Private / Private,32,40.60421100000001,-73.96127899999999
1199 FUTURE OF AMERICA LEARNING CENTER / 1199 FUTURE OF AMERCIA  LEARNING CENTER,1199 S E I U CHILD CARE CORPORATION / 1199 SEIU CHILD CARE CORPORATION,2500 CRESTON AVENUE,BRONX,10468,718-562-2915 / 718-562-2915,7457 / 7455,10/31/2015 / 07/31/2015,  Permitted /   Permitted,0 YEARS - 2 YEARS / 2 YEARS - 5 YEARS,10 / 122,No / No,Private / Private,132,40.8628994,-73.8978867
123 STEP AHEAD,DENIZKO DAY CARE INC,51-07 69 STREET,QUEENS,11377,718-426-0123,10777,01/09/2016,  Permitted,2 YEARS - 5 YEARS,26,No,Private,26,40.734894,-73.895731
UNITED BRONX PARENTS INC / 1332 FULTON  DAY CARE CENTER,UNITED BRONX PARENTS INC / 1332 FULTON AVENUE DAY CARE CENTER INC,1332 FULTON AVENUE,BRONX,10456,718-378-1330 / 718-378-1330,29597 / 4055,12/19/2014 / 11/19/2014,  Permitted /   Permitted,2 YEARS - 5 YEARS / 2 YEARS - 5 YEARS,70 / 97,No / No,ACS Contracted Preschools / ACS Contracted Preschools,167,40.8329374,-73.9023575
14TH STREET Y PRESCHOOL OF THE EDUCTIONAL ALLIANCE   AKA GANI ECC,THE EDUCATIONAL ALLIANCE INC,344 EAST 14 STREET,MANHATTAN,10003,212-780-0800,6440,07/21/2015,  Permitted,2 YEARS - 5 YEARS,88,No,Private,88,40.7313925,-73.9833341
196 ALBANY AVENUE DAY CARE,196 ALBANY AVENUE DAY CARE CENTER INC,196 ALBANY AVENUE,BROOKLYN,11213,718-773-0071,4003,06/19/2015,  Permitted,2 YEARS - 5 YEARS,170,No,ACS Contracted Preschools,170,40.6739275,-73.9392213
1ST IMPRESSION CHILDCARE AND  DEVELOPMENT CENTER INC,1ST IMPRESSION CHILDCARE AND DEVELOPMENT CENTER INC,881 GERARD AVENUE,BRONX,10452,718-588-3800,7905,08/19/2014,  Permitted,2 YEARS - 5 YEARS,41,No,Private,41,40.8283433,-73.9248892
3467 READY SET  LEARN L L C,3467 READY SET LEARN L L C,3463-67 3 AVENUE,BRONX,10456,718-665-1234,8178,08/11/2014,  Permitted,2 YEARS - 5 YEARS,177,Yes,Private,177,40.8298798,-73.9067654
4 ANGELS DAY CARE INC - PRESCHOOL PROGRAM / 4 ANGELS DAY CARE INC - INFANT PROGRAM,4 ANGELS DAY CARE INC / 4 ANGELS DAY CARE INC,245 SIMONSON AVENUE,STATEN ISLAND,10303,718-876-6498 / 718-876-6498,7415 / 7533,07/05/2015 / 07/05/2015,  Permitted /   Permitted,2 YEARS - 5 YEARS / 0 YEARS - 2 YEARS,21 / 20,Yes / Yes,Private / Private,41,40.630438,-74.1521379
43RD STREET KIDS PRESCHOOL INC,43RD STREET KIDS PRESCHOOL INC,484 WEST 43 STREET,MANHATTAN,10036,212-564-7496,5185,05/16/2014,  Permitted,2 YEARS - 5 YEARS,26,No,Private,26,40.7599572,-73.9947479
82ND STREET ACADEMICS,82ND STREET  ACADEMICS INC,81-10 35 AVENUE,QUEENS,11372,718-457-0429,7006,08/11/2014,  Permitted,2 YEARS - 5 YEARS,145,No,Private,145,40.7517295,-73.88510219999999
92ND ST Y NURSERY SCHOOL,92ND ST Y M  Y W H A,1395 LEXINGTON AVENUE,MANHATTAN,10128,212-415-5532,1940,06/13/2014,  Permitted,2 YEARS - 5 YEARS,170,No,Private,170,40.7830623,-73.95268039999999
A  E CAROUSEL DAYCARE,A  E CAROUSEL DAY CAREINC,150 CLERMONT AVENUE,BROOKLYN,11205,718-596-7912,8270,03/31/2015,  Permitted,2 YEARS - 5 YEARS,25,No,Private,25,40.693278,-73.9710295
ABC ECHO PARK EARLY CHILDHOOD CENTER / A B C  ECHO PARK EARLY CHILDHOOD DEVELOPMENT CENTER,ASSOCIATION TO BENEFIT CHILDREN / ASSOCIATION TO BENEFIT CHILDREN,1841 PARK AVENUE,MANHATTAN,10035,646-459-6028 / 646-459-6028,7344 / 7309,01/28/2016 / 12/15/2014,  Permitted /   Permitted,0 YEARS - 2 YEARS / 2 YEARS - 5 YEARS,22 / 124,Yes / Yes,Private / ACS Head Start,146,40.805673,-73.938001
A BETTER STARTINC,A BETTER STARTINC,2339 TIEBOUT AVENUE,BRONX,10458,718-676-1796,8404,10/19/2015,  Permitted,2 YEARS - 5 YEARS,29,No,Private,29,40.8574997,-73.89673479999999
A CASTLE FOR  CLASSY KIDS LEARNING CENTER INC,A CASTLE FOR CLASSY KIDS LEARNING CENTER INC,2570 PITKIN AVENUE,BROOKLYN,11208,347-750-8154,8171,05/24/2014,  Permitted,2 YEARS - 5 YEARS,39,No,Private,39,40.6746071,-73.8772986
A CHILDS PLACE TOO / A CHILDS PLACE PRE SCHOOL,A CHILDS PLACE NURSERY / A CHILDS PLACE TOOINC,32-20 108 ST,QUEENS,11369,718-565-2170 / 718-565-2170,7386 / 6966,03/25/2015 / 04/02/2016,  Permitted /   Permitted,0 YEARS - 2 YEARS / 2 YEARS - 5 YEARS,46 / 104,No / No,Private / Private,150,40.7593296,-73.8612759
A CHILDS PLACE TOO INC,A CHILDS PLACE TOO INC,100-10 ASTORIA BLVD,QUEENS,11369,718-446-0200,51781,09/10/2015,  Permitted,2 YEARS - 5 YEARS,45,No,Private,45,40.761523,-73.8689596
A CHILDS HOME DAY CARE,GLORIA PANKY,427 NEW LOTS AVENUE,BROOKLYN,11207,718-927-0373,7395,01/07/2015,  Permitted,2 YEARS - 5 YEARS,24,No,Private,24,40.6626,-73.891949
A H R C  HOWARD HABER  ELC,N Y S ASSOCIATION FOR RETARDED CHILDRENINC,2300 WESTCHESTER AVENUE,BRONX,10462,718-409-1450,6030,03/17/2015,  Permitted,2 YEARS - 5 YEARS,152,Yes,Private,152,40.8350348,-73.8479705
A M A C CHILDRENS HOUSE,A M A C INC,25 WEST 17 STREET,MANHATTAN,10011,212-645-5005,5950,02/09/2015,  Permitted,2 YEARS - 5 YEARS,104,No,Private,104,40.7386488,-73.99361379999999
A NEW DAWN ELEMENTARY  PRE-SCHOOL,A NEW DAWN ELEMENTARY SCHOOLINC,89-14 163 STREET,QUEENS,11432,718-206-1500,6180,05/10/2014,  Permitted,2 YEARS - 5 YEARS,20,No,Private,20,40.7065813,-73.7980862
A TO Z CENTER TOO INC,A TO Z CENTER TOO INC,220-24 JAMAICA AVENUE,QUEENS,11428,718-740-8400,7605,06/21/2014,  Permitted,2 YEARS - 5 YEARS,162,No,Private,162,40.7192374,-73.7336849
A TO Z DAY CARE CENTER,A TO Z DAY CARE CENTER AND AFTER SCHOOL PROGRAM INCA TO Z DAY CARE CENTER INC,3053 AVENUE U,BROOKLYN,11229,718-368-1234,7960,12/05/2014,  Permitted,2 YEARS - 5 YEARS,54,No,Private,54,40.601218,-73.9368719
A TO Z LEARNING CENTER,A TO Z MANAGEMENT INC,123-21 JAMAICA AVENUE,QUEENS,11418,718-805-4400,6709,10/11/2015,  Permitted,2 YEARS - 5 YEARS,29,No,Private,29,40.7008194,-73.82654509999999
A YOURE ADORABLE,A YOURE ADORABLEINC,3304 GRISWOLD AVENUE,BRONX,10465,718-863-3455,7137,06/09/2015,  Permitted,2 YEARS - 5 YEARS,47,No,Private,47,40.8448824,-73.81639779999999
ABC CASSIDYS PLACE,ASSOCIATION TO BENEFIT CHILDREN,419 EAST 86TH STREET,MANHATTAN,10028,212-831-1322,6390,08/06/2015,  Permitted,2 YEARS - 5 YEARS,120,Yes,Private,120,40.776764,-73.94839
ABC INFANT  TODDLER CENTER / ABC CHILD CENTER,ABC INFANT  TODDLER CENTERINC / ABC CHILD CENTERINC,109 NASSAU AVENUE,BROOKLYN,11222,718-389-9004 / 718-389-9004,43577 / 6084,06/13/2015 / 07/03/2014,  Permitted /   Permitted,0 YEARS - 2 YEARS / 2 YEARS - 5 YEARS,31 / 45,No / No,Private / Private,76,40.724395,-73.949659
ABC EARLY LEARNING CENTER,ABC EARLY LEARNING CENTER INC,54-25 LITTLE NECK PKWY,QUEENS,11362,718-225-8044,7216,03/31/2014,  Expired-InRenewal,2 YEARS - 5 YEARS,76,No,Private,76,40.7603856,-73.72279759999999
ABC EARLY LEARNING CENTER OF BAY TERRACE,ABC EARLY LEARNING CENTER INC,208-90 CROSS ISLAND PKWY,QUEENS,11360,718-428-0005,7866,04/09/2014,  Permitted,2 YEARS - 5 YEARS,36,No,Private,36,40.788154,-73.78412
ABC KEITH HARING SCHOOL,ASSOCIATION TO BENEFIT CHILDREN,318 EAST 116TH STREET,MANHATTAN,10029,212-426-3960,53757,11/01/2015,  Permitted,0 YEARS - 2 YEARS,10,No,Head Start Direct Fed Funding,10,40.796341,-73.936959
ABC KIDDIE LAND DAY CARE CENTER,ABC KIDDIE LAND INC,67-05  ROOSEVELT AVENUE,QUEENS,11377,718-651-3551,26898,11/07/2014,  Permitted,2 YEARS - 5 YEARS,26,No,Private,26,40.746434,-73.89788999999999
ABC KIDDIELAND DAY CARE CENTER,ABC KIDDIELAND INC,65-21 ROOSEVELT AVE,QUEENS,11377,718-651-3551,7571,03/19/2016,  Permitted,2 YEARS - 5 YEARS,22,No,Private,22,40.7461173,-73.8982884
ABC MINISTRY AND COUNSELING CENTER / ABC MINISTRY AND COUNSELING CENTER,ABC MINISTRY AND COUSELING CENTERINC / ABC MINISTRY AND COUNSELING CENTER INC,9302  AVENUE B,BROOKLYN,11236,718-498-8937 / 718-498-8937,7708 / 7738,01/25/2015 / 04/19/2015,  Permitted /   Permitted,0 YEARS - 2 YEARS / 2 YEARS - 5 YEARS,10 / 46,No / No,Private / Private,56,40.650813,-73.913809
