centerName,permitHolder,address,borough,zipCode,phone,permitNumber,permitExpirationDate,permitStatus,ageRange,maximumCapacity,certifiedToAdministerMedication,siteType,GeocodedCategory,Lon,Lat
LITTLE PICKLES  DAY CARE CENTER,ERL GROUP LLC,2169 CONEY ISLAND AVENUE,BROOKLYN,11223,718-676-1725,13237,2.01403E+16,Expired-InRenewal,2 YEARS - 5 YEARS,17,No,Private,PAD2013,-73.961371,40.60421
1199 FUTURE OF AMERCIA  LEARNING CENTER,1199 SEIU CHILD CARE CORPORATION,2500 CRESTON AVENUE,BRONX,10468,718-562-2915,7455,2.01507E+16,Permitted,2 YEARS - 5 YEARS,122,No,Private,PAD2013,-73.897433,40.862995
1199 FUTURE OF AMERICA LEARNING CENTER,1199 S E I U CHILD CARE CORPORATION,2500 CRESTON AVENUE,BRONX,10468,718-562-2915,7457,2.0151E+16,Permitted,0 YEARS - 2 YEARS,10,No,Private,PAD2013,-73.897433,40.862995
123 STEP AHEAD,DENIZKO DAY CARE INC,51-07 69 STREET,QUEENS,11377,718-426-0123,10777,2.01601E+16,Permitted,2 YEARS - 5 YEARS,26,No,Private,PAD2013,-73.895716,40.734911
1332 FULTON  DAY CARE CENTER,1332 FULTON AVENUE DAY CARE CENTER INC,1332 FULTON AVENUE,BRONX,10456,718-378-1330,4055,2.01411E+16,Permitted,2 YEARS - 5 YEARS,97,No,ACS Contracted Preschools,PAD2013,-73.902497,40.832982
14TH STREET Y PRESCHOOL OF THE EDUCTIONAL ALLIANCE   AKA GANI ECC,THE EDUCATIONAL ALLIANCE INC,344 EAST 14 STREET,MANHATTAN,10003,212-780-0800,6440,2.01507E+16,Permitted,2 YEARS - 5 YEARS,88,No,Private,PAD2013,-73.983362,40.731198
196 ALBANY AVENUE DAY CARE,196 ALBANY AVENUE DAY CARE CENTER INC,196 ALBANY AVENUE,BROOKLYN,11213,718-773-0071,4003,2.01506E+16,Permitted,2 YEARS - 5 YEARS,170,No,ACS Contracted Preschools,PAD2013,-73.939281,40.673992
1ST IMPRESSION CHILDCARE AND  DEVELOPMENT CENTER INC,1ST IMPRESSION CHILDCARE AND DEVELOPMENT CENTER INC,881 GERARD AVENUE,BRONX,10452,718-588-3800,7905,2.01408E+16,Permitted,2 YEARS - 5 YEARS,41,No,Private,PAD2013,-73.924904,40.82826
3467 READY SET  LEARN L L C,3467 READY SET LEARN L L C,3463-67 3 AVENUE,BRONX,10456,718-665-1234,8178,2.01408E+16,Permitted,2 YEARS - 5 YEARS,177,Yes,Private,PAD2013,-73.906675,40.829979
4 ANGELS DAY CARE INC - INFANT PROGRAM,4 ANGELS DAY CARE INC,245 SIMONSON AVENUE,STATEN ISLAND,10303,718-876-6498,7533,2.01507E+16,Permitted,0 YEARS - 2 YEARS,20,Yes,Private,PAD2013,-74.152139,40.630452
4 ANGELS DAY CARE INC - PRESCHOOL PROGRAM,4 ANGELS DAY CARE INC,245 SIMONSON AVENUE,STATEN ISLAND,10303,718-876-6498,7415,2.01507E+16,Permitted,2 YEARS - 5 YEARS,21,Yes,Private,PAD2013,-74.152139,40.630452
43RD STREET KIDS PRESCHOOL INC,43RD STREET KIDS PRESCHOOL INC,484 WEST 43 STREET,MANHATTAN,10036,212-564-7496,5185,2.01405E+16,Permitted,2 YEARS - 5 YEARS,26,No,Private,PAD2013,-73.994737,40.759735
82ND STREET ACADEMICS,82ND STREET  ACADEMICS INC,81-10 35 AVENUE,QUEENS,11372,718-457-0429,7006,2.01408E+16,Permitted,2 YEARS - 5 YEARS,145,No,Private,PAD2013,-73.885261,40.751499
92ND ST Y NURSERY SCHOOL,92ND ST Y M  Y W H A,1395 LEXINGTON AVENUE,MANHATTAN,10128,212-415-5532,1940,2.01406E+16,Permitted,2 YEARS - 5 YEARS,170,No,Private,PAD2013,-73.952518,40.782934
A  E CAROUSEL DAYCARE,A  E CAROUSEL DAY CAREINC,150 CLERMONT AVENUE,BROOKLYN,11205,718-596-7912,8270,2.01503E+16,Permitted,2 YEARS - 5 YEARS,25,No,Private,PAD2013,-73.97119,40.693517
A B C  ECHO PARK EARLY CHILDHOOD DEVELOPMENT CENTER,ASSOCIATION TO BENEFIT CHILDREN,1841 PARK AVENUE,MANHATTAN,10035,646-459-6028,7309,2.01412E+16,Permitted,2 YEARS - 5 YEARS,124,Yes,ACS Head Start,PAD2013,-73.938007,40.805692
A BETTER STARTINC,A BETTER STARTINC,2339 TIEBOUT AVENUE,BRONX,10458,718-676-1796,8404,2.0151E+16,Permitted,2 YEARS - 5 YEARS,29,No,Private,PAD2013,-73.89697,40.857518
A CASTLE FOR  CLASSY KIDS LEARNING CENTER INC,A CASTLE FOR CLASSY KIDS LEARNING CENTER INC,2570 PITKIN AVENUE,BROOKLYN,11208,347-750-8154,8171,2.01405E+16,Permitted,2 YEARS - 5 YEARS,39,No,Private,PAD2013,-73.877353,40.674384
A CHILDS PLACE PRE SCHOOL,A CHILDS PLACE TOOINC,32-20 108 ST,QUEENS,11369,718-565-2170,6966,2.01604E+16,Permitted,2 YEARS - 5 YEARS,104,No,Private,PAD2013,-73.861558,40.759308
A CHILDS PLACE TOO,A CHILDS PLACE NURSERY,32-20 108 ST,QUEENS,11369,718-565-2170,7386,2.01503E+16,Permitted,0 YEARS - 2 YEARS,46,No,Private,PAD2013,-73.861558,40.759308
A CHILDS PLACE TOO INC,A CHILDS PLACE TOO INC,100-10 ASTORIA BLVD,QUEENS,11369,718-446-0200,51781,2.01509E+16,Permitted,2 YEARS - 5 YEARS,45,No,Private,PAD2013,-73.868912,40.761481
A CHILDS HOME DAY CARE,GLORIA PANKY,427 NEW LOTS AVENUE,BROOKLYN,11207,718-927-0373,7395,2.01501E+16,Permitted,2 YEARS - 5 YEARS,24,No,Private,PAD2013,-73.891947,40.662582
A H R C  HOWARD HABER  ELC,N Y S ASSOCIATION FOR RETARDED CHILDRENINC,2300 WESTCHESTER AVENUE,BRONX,10462,718-409-1450,6030,2.01503E+16,Permitted,2 YEARS - 5 YEARS,152,Yes,Private,PAD2013,-73.847994,40.834998
A M A C CHILDRENS HOUSE,A M A C INC,25 WEST 17 STREET,MANHATTAN,10011,212-645-5005,5950,2.01502E+16,Permitted,2 YEARS - 5 YEARS,104,No,Private,PAD2013,-73.993424,40.738803
A NEW DAWN ELEMENTARY  PRE-SCHOOL,A NEW DAWN ELEMENTARY SCHOOLINC,89-14 163 STREET,QUEENS,11432,718-206-1500,6180,2.01405E+16,Permitted,2 YEARS - 5 YEARS,20,No,Private,PAD2013,-73.798176,40.706546
A TO Z CENTER TOO INC,A TO Z CENTER TOO INC,220-24 JAMAICA AVENUE,QUEENS,11428,718-740-8400,7605,2.01406E+16,Permitted,2 YEARS - 5 YEARS,162,No,Private,PAD2013,-73.733509,40.71903
A TO Z DAY CARE CENTER,A TO Z DAY CARE CENTER AND AFTER SCHOOL PROGRAM INCA TO Z DAY CARE CENTER INC,3053 AVENUE U,BROOKLYN,11229,718-368-1234,7960,2.01412E+16,Permitted,2 YEARS - 5 YEARS,54,No,Private,PAD2013,-73.936867,40.601167
A TO Z LEARNING CENTER,A TO Z MANAGEMENT INC,123-21 JAMAICA AVENUE,QUEENS,11418,718-805-4400,6709,2.0151E+16,Permitted,2 YEARS - 5 YEARS,29,No,Private,PAD2013,-73.826688,40.700953
A YOURE ADORABLE,A YOURE ADORABLEINC,3304 GRISWOLD AVENUE,BRONX,10465,718-863-3455,7137,2.01506E+16,Permitted,2 YEARS - 5 YEARS,47,No,Private,PAD2013,-73.816281,40.844624
ABC CASSIDYS PLACE,ASSOCIATION TO BENEFIT CHILDREN,419 EAST 86TH STREET,MANHATTAN,10028,212-831-1322,6390,2.01508E+16,Permitted,2 YEARS - 5 YEARS,120,Yes,Private,PAD2013,-73.948466,40.776743
ABC CHILD CENTER,ABC CHILD CENTERINC,109 NASSAU AVENUE,BROOKLYN,11222,718-389-9004,6084,2.01407E+16,Permitted,2 YEARS - 5 YEARS,45,No,Private,PAD2013,-73.949652,40.724384
ABC EARLY LEARNING CENTER,ABC EARLY LEARNING CENTER INC,54-25 LITTLE NECK PKWY,QUEENS,11362,718-225-8044,7216,2.01403E+16,Permitted,2 YEARS - 5 YEARS,76,No,Private,PAD2013,-73.725353,40.766644
ABC EARLY LEARNING CENTER OF BAY TERRACE,ABC EARLY LEARNING CENTER INC,208-90 CROSS ISLAND PKWY,QUEENS,11360,718-428-0005,7866,2.01404E+16,Permitted,2 YEARS - 5 YEARS,36,No,Private,LION2013,-73.784182,40.788751
ABC ECHO PARK EARLY CHILDHOOD CENTER,ASSOCIATION TO BENEFIT CHILDREN,1841 PARK AVENUE,MANHATTAN,10035,646-459-6028,7344,2.01601E+16,Permitted,0 YEARS - 2 YEARS,22,Yes,Private,PAD2013,-73.938007,40.805692
ABC INFANT  TODDLER CENTER,ABC INFANT  TODDLER CENTERINC,109 NASSAU AVENUE,BROOKLYN,11222,718-389-9004,43577,2.01506E+16,Permitted,0 YEARS - 2 YEARS,31,No,Private,PAD2013,-73.949652,40.724384
ABC KEITH HARING SCHOOL,ASSOCIATION TO BENEFIT CHILDREN,318 EAST 116TH STREET,MANHATTAN,10029,212-426-3960,53757,2.01511E+16,Permitted,0 YEARS - 2 YEARS,10,No,Head Start Direct Fed Funding,PAD2013,-73.936949,40.796363
ABC KIDDIE LAND DAY CARE CENTER,ABC KIDDIE LAND INC,67-05  ROOSEVELT AVENUE,QUEENS,11377,718-651-3551,26898,2.01411E+16,Permitted,2 YEARS - 5 YEARS,26,No,Private,PAD2013,-73.897844,40.74635
ABC KIDDIELAND DAY CARE CENTER,ABC KIDDIELAND INC,65-21 ROOSEVELT AVE,QUEENS,11377,718-651-3551,7571,2.01403E+16,Expired-InRenewal,2 YEARS - 5 YEARS,22,No,Private,PAD2013,-73.898299,40.746331
ABC MINISTRY AND COUNSELING CENTER,ABC MINISTRY AND COUNSELING CENTER INC,9302  AVENUE B,BROOKLYN,11236,718-498-8937,7738,2.01504E+16,Permitted,2 YEARS - 5 YEARS,46,No,Private,PAD2013,-73.91382,40.650845
ABC MINISTRY AND COUNSELING CENTER,ABC MINISTRY AND COUSELING CENTERINC,9302  AVENUE B,BROOKLYN,11236,718-498-8937,7708,2.01501E+16,Permitted,0 YEARS - 2 YEARS,10,No,Private,PAD2013,-73.91382,40.650845
