"&#39;LITTLE PICKLES&#39;  DAY CARE CENTER","2169 CONEY ISLAND AVENUE",11223,718-676-1725,"Expired-In Renewal"
"1199 FUTURE OF AMERCIA  LEARNING CENTER","2500 CRESTON AVENUE",10468,718-562-2915,Permitted
"1199 FUTURE OF AMERICA LEARNING CENTER","2500 CRESTON AVENUE",10468,718-562-2915,Permitted
"123 STEP AHEAD","51-07 69 STREET",11377,718-426-0123,Permitted
"1332 FULTON  DAY CARE CENTER","1332 FULTON AVENUE",10456,718-378-1330,Permitted
"14TH STREET Y PRESCHOOL OF THE EDUCTIONAL ALLIANCE   (A.K.A GANI ECC)","344 EAST 14 STREET",10003,212-780-0800,Permitted
"196 ALBANY AVENUE DAY CARE","196 ALBANY AVENUE",11213,718-773-0071,Permitted
"1ST IMPRESSION CHILDCARE AND  DEVELOPMENT CENTER, INC.","881 GERARD AVENUE",10452,718-588-3800,Permitted
"3467 READY, SET,  LEARN L L C","3463-67 3 AVENUE",10456,718-665-1234,Permitted
"4 ANGELS DAY CARE INC. - INFANT PROGRAM.","245 SIMONSON AVENUE",10303,718-876-6498,Permitted
"4 ANGELS DAY CARE, INC - PRESCHOOL PROGRAM","245 SIMONSON AVENUE",10303,718-876-6498,Permitted
"43RD STREET KIDS PRESCHOOL, INC.","484 WEST 43 STREET",10036,212-564-7496,Permitted
"82ND STREET ACADEMICS","81-10 35 AVENUE",11372,718-457-0429,Permitted
"92ND ST. Y NURSERY SCHOOL","1395 LEXINGTON AVENUE",10128,212-415-5532,Permitted
"A &amp; E CAROUSEL DAYCARE","150 CLERMONT AVENUE",11205,718-596-7912,Permitted
"A B C  ECHO PARK EARLY CHILDHOOD DEVELOPMENT CENTER","1841 PARK AVENUE",10035,646-459-6028,Permitted
"A BETTER START,INC.","2339 TIEBOUT AVENUE",10458,718-676-1796,Permitted
"A CASTLE FOR  CLASSY KIDS LEARNING CENTER, INC.","2570 PITKIN AVENUE",11208,347-750-8154,Permitted
"A CHILD&#39;S PLACE PRE SCHOOL","32-20 108 ST",11369,718-565-2170,Permitted
"A CHILD&#39;S PLACE TOO","32-20 108 ST",11369,718-565-2170,Permitted
"A CHILD&#39;S PLACE TOO, INC","100-10 ASTORIA BLVD.",11369,718-446-0200,Permitted
"A CHILDS HOME DAY CARE","427 NEW LOTS AVENUE",11207,718-927-0373,Permitted
