Site_ID,Center_Name,Permit_Holder,Address,Borough,Zip_Code,Phone,Permit_Number,Permit_Expiration_Date,Permit_Status,Age_Range,Maximum_Capacity,Certified_to_Administer_Medication,Site_Type,Number_Of_Violations,Hazard_Violations,Critical_Violations,General_Violations,Number_Of_Visits,Mean_Violations_Per_Visit,Score,Mean_Rank,Mean_Cat,Score_Rank,Score_Cat,Lat,Lon
DC22224,'LITTLE PICKLES'  DAY CARE CENTER,"ERL GROUP, LLC.",2169 CONEY ISLAND AVENUE,BROOKLYN,11223,718-676-1725,13237,2016-03-06,Permitted,2 YEARS - 5 YEARS,17,No,Private,3,0,1,2,3,1.0,1.33333,897,Average,676,Average,40.60421100000001,-73.96127899999999
DC2027,1199 FUTURE OF AMERCIA  LEARNING CENTER,1199 SEIU CHILD CARE CORPORATION,2500 CRESTON AVENUE,BRONX,10468,718-562-2915,7455,2015-07-31,Permitted,2 YEARS - 5 YEARS,122,No,Private,4,1,1,2,5,0.8,1.4,742,Average,689,Average,40.8628875,-73.8978805
DC5090,1199 FUTURE OF AMERICA LEARNING CENTER,1199 S E I U CHILD CARE CORPORATION,2500 CRESTON AVENUE,BRONX,10468,718-562-2915,7457,2015-10-31,Permitted,0 YEARS - 2 YEARS,10,No,Private,4,1,1,2,3,1.33333,2.33333,1114,Average,1064,Average,40.8628875,-73.8978805
DC20555,123 STEP AHEAD,DENIZKO DAY CARE INC.,51-07 69 STREET,QUEENS,11377,718-426-0123,10777,2016-01-09,Permitted,2 YEARS - 5 YEARS,26,No,Private,3,1,2,0,4,0.75,1.75,689,Average,842,Average,40.734894,-73.895731
DC11899,1332 FULTON  DAY CARE CENTER,"1332 FULTON AVENUE DAY CARE CENTER, INC.",1332 FULTON AVENUE,BRONX,10456,718-378-1330,4055,2014-11-19,Permitted,2 YEARS - 5 YEARS,97,No,ACS Contracted Preschools,13,1,3,9,4,3.25,4.5,1926,Bottom 15%,1685,Bottom 30%,40.8329374,-73.9023575
DC3070,14TH STREET Y PRESCHOOL OF THE EDUCTIONAL ALLIANCE   (A.K.A GANI ECC),"THE EDUCATIONAL ALLIANCE, INC",344 EAST 14 STREET,MANHATTAN,10003,212-780-0800,6440,2015-07-21,Permitted,2 YEARS - 5 YEARS,88,No,Private,11,2,8,1,3,3.66667,7.66667,2010,Bottom 15%,2076,Bottom 5%,40.7313925,-73.9833341
DC961,196 ALBANY AVENUE DAY CARE,"196 ALBANY AVENUE DAY CARE CENTER, INC.",196 ALBANY AVENUE,BROOKLYN,11213,718-773-0071,4003,2015-06-19,Permitted,2 YEARS - 5 YEARS,170,No,ACS Contracted Preschools,69,8,32,29,18,3.83333,6.5,2037,Bottom 15%,1971,Bottom 15%,40.6739275,-73.9392213
DC14772,"1ST IMPRESSION CHILDCARE AND  DEVELOPMENT CENTER, INC.","1ST IMPRESSION CHILDCARE AND DEVELOPMENT CENTER, INC.",881 GERARD AVENUE,BRONX,10452,718-588-3800,7905,2016-08-19,Permitted,2 YEARS - 5 YEARS,41,No,Private,8,1,3,4,4,2.0,3.25,1514,Bottom 30%,1368,Bottom 30%,40.8283433,-73.9248892
DC20062,"3467 READY, SET,  LEARN L L C","3467 READY, SET, LEARN, L L C",3463-67 3 AVENUE,BRONX,10456,718-665-1234,8178,2016-08-11,Permitted,2 YEARS - 5 YEARS,177,Yes,Private,21,5,5,11,6,3.5,6.0,1986,Bottom 15%,1933,Bottom 15%,40.8298798,-73.9067654
DC14404,4 ANGELS DAY CARE INC. - INFANT PROGRAM.,4 ANGELS DAY CARE INC.,245 SIMONSON AVENUE,STATEN ISLAND,10303,718-876-6498,7533,2015-07-05,Permitted,0 YEARS - 2 YEARS,20,Yes,Private,5,2,2,1,4,1.25,2.75,1034,Average,1223,Average,40.630438,-74.1521379
