Site_ID,Center_Name,Permit_Holder,Address,Borough,Zip_Code,Phone,Permit_Number,Permit_Expiration_Date,Permit_Status,Age_Range,Maximum_Capacity,Certified_to_Administer_Medication,Site_Type,Number_Of_Violations,Hazard_Violations,Critical_Violations,General_Violations,Number_Of_Visits
DC22224,'LITTLE PICKLES'  DAY CARE CENTER,"ERL GROUP, LLC.",2169 CONEY ISLAND AVENUE,BROOKLYN,11223,718-676-1725,13237,2016-03-06,Permitted,2 YEARS - 5 YEARS,17,No,Private,4,0,2,2,5
DC2027,1199 FUTURE OF AMERCIA  LEARNING CENTER,1199 SEIU CHILD CARE CORPORATION,2500 CRESTON AVENUE,BRONX,10468,718-562-2915,7455,2015-07-31,Permitted,2 YEARS - 5 YEARS,122,No,Private,9,2,3,4,7
DC5090,1199 FUTURE OF AMERICA LEARNING CENTER,1199 S E I U CHILD CARE CORPORATION,2500 CRESTON AVENUE,BRONX,10468,718-562-2915,7457,2015-10-31,Permitted,0 YEARS - 2 YEARS,10,No,Private,6,1,2,3,6
DC20555,123 STEP AHEAD,DENIZKO DAY CARE INC.,51-07 69 STREET,QUEENS,11377,718-426-0123,10777,2016-01-09,Permitted,2 YEARS - 5 YEARS,26,No,Private,6,1,4,1,5
DC11899,1332 FULTON  DAY CARE CENTER,"1332 FULTON AVENUE DAY CARE CENTER, INC.",1332 FULTON AVENUE,BRONX,10456,718-378-1330,4055,2014-11-19,Permitted,2 YEARS - 5 YEARS,97,No,ACS Contracted Preschools,55,10,24,21,9
DC3070,14TH STREET Y PRESCHOOL OF THE EDUCTIONAL ALLIANCE   (A.K.A GANI ECC),"THE EDUCATIONAL ALLIANCE, INC",344 EAST 14 STREET,MANHATTAN,10003,212-780-0800,6440,2015-07-21,Permitted,2 YEARS - 5 YEARS,88,No,Private,20,2,14,4,6
DC961,196 ALBANY AVENUE DAY CARE,"196 ALBANY AVENUE DAY CARE CENTER, INC.",196 ALBANY AVENUE,BROOKLYN,11213,718-773-0071,4003,2015-06-19,Permitted,2 YEARS - 5 YEARS,170,No,ACS Contracted Preschools,86,12,39,35,24
DC14772,"1ST IMPRESSION CHILDCARE AND  DEVELOPMENT CENTER, INC.","1ST IMPRESSION CHILDCARE AND DEVELOPMENT CENTER, INC.",881 GERARD AVENUE,BRONX,10452,718-588-3800,7905,2014-08-19,Permitted,2 YEARS - 5 YEARS,41,No,Private,24,5,8,11,7
DC20062,"3467 READY, SET,  LEARN L L C","3467 READY, SET, LEARN, L L C",3463-67 3 AVENUE,BRONX,10456,718-665-1234,8178,2014-08-11,Permitted,2 YEARS - 5 YEARS,177,Yes,Private,25,4,6,15,8
DC14404,4 ANGELS DAY CARE INC. - INFANT PROGRAM.,4 ANGELS DAY CARE INC.,245 SIMONSON AVENUE,STATEN ISLAND,10303,718-876-6498,7533,2015-07-05,Permitted,0 YEARS - 2 YEARS,20,Yes,Private,10,2,7,1,6
DC14175,"4 ANGELS DAY CARE, INC - PRESCHOOL PROGRAM",4 ANGELS DAY CARE INC.,245 SIMONSON AVENUE,STATEN ISLAND,10303,718-876-6498,7415,2015-07-05,Permitted,2 YEARS - 5 YEARS,21,Yes,Private,1,1,0,0,5
DC2643,"43RD STREET KIDS PRESCHOOL, INC.","43RD STREET KIDS PRESCHOOL, INC.",484 WEST 43 STREET,MANHATTAN,10036,212-564-7496,5185,2016-05-16,Permitted,2 YEARS - 5 YEARS,26,No,Private,13,2,5,6,7
DC1187,82ND STREET ACADEMICS,82ND STREET  ACADEMICS INC,81-10 35 AVENUE,QUEENS,11372,718-457-0429,7006,2014-08-11,Permitted,2 YEARS - 5 YEARS,145,No,Private,19,5,8,6,10
DC2408,92ND ST. Y NURSERY SCHOOL,92ND ST. Y M & Y W H A,1395 LEXINGTON AVENUE,MANHATTAN,10128,212-415-5532,1940,2014-06-13,Permitted,2 YEARS - 5 YEARS,170,No,Private,7,2,4,1,5
DC20033,A & E CAROUSEL DAYCARE,"A & E CAROUSEL DAY CARE,INC.",150 CLERMONT AVENUE,BROOKLYN,11205,718-596-7912,8270,2015-03-31,Permitted,2 YEARS - 5 YEARS,25,No,Private,16,2,6,8,7
