Site_ID,Center_Name,Permit_Holder,Address,Borough,Zip_Code,Phone,Permit_Number,Permit_Expiration_Date,Permit_Status,Age_Range,Maximum_Capacity,Certified_to_Administer_Medication,Site_Type,Number_Of_Violations,Hazard_Violations,Critical_Violations,General_Violations,Number_Of_Visits,Mean_Violations_Per_Visit,Score,Mean_Rank,Mean_Cat,Score_Rank,Score_Cat,Number_Of_Permits,Average_Mean_Violations_Per_Visit,Average_Score,Lat,Lon
DC22109 / DC22224,LITTLE PICKLES / 'LITTLE PICKLES'  DAY CARE CENTER,"ERL GROUP LLC / ERL GROUP, LLC.",2169 CONEY ISLAND AVENUE,BROOKLYN,11223,718-676-1725 / 718-676-1725,32577 / 13237,2015-02-14 / 2016-03-06,Permitted / Permitted,0 YEARS - 2 YEARS / 2 YEARS - 5 YEARS,15 / 17,No / No,Private / Private,4 / 4,1 / 0,3 / 2,0 / 2,5 / 5,0.8 / 0.8,1.8 / 1.2,687 / 709,Average / Average,840 / 618,Average / Top 30%,3,0.8,1.4000000000000001,40.60421100000001,-73.96127899999999
DC5090 / DC2027,1199 FUTURE OF AMERICA LEARNING CENTER / 1199 FUTURE OF AMERCIA  LEARNING CENTER,1199 S E I U CHILD CARE CORPORATION / 1199 SEIU CHILD CARE CORPORATION,2500 CRESTON AVENUE,BRONX,10468,718-562-2915 / 718-562-2915,7457 / 7455,2015-10-31 / 2015-07-31,Permitted / Permitted,0 YEARS - 2 YEARS / 2 YEARS - 5 YEARS,10 / 122,No / No,Private / Private,4 / 4,1 / 1,1 / 1,2 / 2,3 / 5,1.33333 / 0.8,2.33333 / 1.4,1074 / 726,Average / Average,1086 / 700,Average / Average,3,1.066665,1.71111,40.8628875,-73.8978805
DC20555,123 STEP AHEAD,DENIZKO DAY CARE INC.,51-07 69 STREET,QUEENS,11377,718-426-0123,10777,2016-01-09,Permitted,2 YEARS - 5 YEARS,26,No,Private,3,1,2,0,4,0.75,1.75,646,Top 30%,816,Average,1,0.75,1.75,40.734894,-73.895731
DC24900 / DC11899,"UNITED BRONX PARENTS, INC. / 1332 FULTON  DAY CARE CENTER","UNITED BRONX PARENTS, INC. / 1332 FULTON AVENUE DAY CARE CENTER, INC.",1332 FULTON AVENUE,BRONX,10456,917-259-7443 / 718-378-1330,29597 / 4055,2014-12-19 / 2014-11-19,Permitted / Permitted,2 YEARS - 5 YEARS / 2 YEARS - 5 YEARS,70 / 97,No / No,ACS Contracted Preschools / ACS Contracted Preschools,15 / 17,2 / 3,6 / 5,7 / 9,3 / 5,5.0 / 3.4,8.33333 / 5.6,2114 / 1949,Bottom 5% / Bottom 15%,2092 / 1868,Bottom 5% / Bottom 15%,3,4.2,6.5111099999999995,40.8329374,-73.9023575
DC3070,14TH STREET Y PRESCHOOL OF THE EDUCTIONAL ALLIANCE   (A.K.A GANI ECC),"THE EDUCATIONAL ALLIANCE, INC",344 EAST 14 STREET,MANHATTAN,10003,212-780-0800,6440,2015-07-21,Permitted,2 YEARS - 5 YEARS,88,No,Private,11,2,8,1,3,3.66667,7.66667,1994,Bottom 15%,2064,Bottom 5%,1,3.66667,7.66667,40.7313925,-73.9833341
DC961,196 ALBANY AVENUE DAY CARE,"196 ALBANY AVENUE DAY CARE CENTER, INC.",196 ALBANY AVENUE,BROOKLYN,11213,718-773-0071,4003,2015-06-19,Permitted,2 YEARS - 5 YEARS,170,No,ACS Contracted Preschools,73,9,34,30,19,3.84211,6.57895,2020,Bottom 15%,1973,Bottom 15%,1,3.84211,6.57895,40.6739275,-73.9392213
DC14772,"1ST IMPRESSION CHILDCARE AND  DEVELOPMENT CENTER, INC.","1ST IMPRESSION CHILDCARE AND DEVELOPMENT CENTER, INC.",881 GERARD AVENUE,BRONX,10452,718-588-3800,7905,2014-08-19,Permitted,2 YEARS - 5 YEARS,41,No,Private,8,1,3,4,3,2.66667,4.33333,1755,Bottom 30%,1628,Bottom 30%,1,2.66667,4.33333,40.8283433,-73.9248892
DC20062,"3467 READY, SET,  LEARN L L C","3467 READY, SET, LEARN, L L C",3463-67 3 AVENUE,BRONX,10456,718-665-1234,8178,2014-08-11,Permitted,2 YEARS - 5 YEARS,177,Yes,Private,21,5,5,11,6,3.5,6.0,1959,Bottom 15%,1917,Bottom 15%,1,3.5,6.0,40.8298798,-73.9067654
DC14175 / DC14404,"4 ANGELS DAY CARE, INC - PRESCHOOL PROGRAM / 4 ANGELS DAY CARE INC. - INFANT PROGRAM.",4 ANGELS DAY CARE INC. / 4 ANGELS DAY CARE INC.,245 SIMONSON AVENUE,STATEN ISLAND,10303,718-876-6498 / 718-876-6498,7415 / 7533,2015-07-05 / 2015-07-05,Permitted / Permitted,2 YEARS - 5 YEARS / 0 YEARS - 2 YEARS,21 / 20,Yes / Yes,Private / Private,1 / 5,1 / 2,0 / 2,0 / 1,4 / 4,0.25 / 1.25,0.75 / 2.75,334 / 1041,Top 15% / Average,461 / 1194,Top 30% / Average,3,0.75,2.0833333333333335,40.630438,-74.1521379
DC2643,"43RD STREET KIDS PRESCHOOL, INC.","43RD STREET KIDS PRESCHOOL, INC.",484 WEST 43 STREET,MANHATTAN,10036,212-564-7496,5185,2016-05-16,Permitted,2 YEARS - 5 YEARS,26,No,Private,7,1,2,4,5,1.4,2.2,1141,Average,1014,Average,1,1.4,2.2,40.7599572,-73.9947479
