Site ID,Center Name,Permit Holder,Address,Borough,Zip Code,Phone,Permit Number,Permit Expiration Date,Permit Status,Age Range,Maximum Capacity,Certified to Administer Medication,Site Type,Total Maximum Capacity,Lat,Lon
DC22109 / DC22224,LITTLE PICKLES / 'LITTLE PICKLES'  DAY CARE CENTER,"ERL GROUP LLC / ERL GROUP, LLC.",2169 CONEY ISLAND AVENUE,BROOKLYN,11223,718-676-1725 / 718-676-1725,32577 / 13237,02/14/2015 / 03/06/2016,Permitted / Permitted,0 YEARS - 2 YEARS / 2 YEARS - 5 YEARS,15 / 17,No / No,Private / Private,32,40.604211,-73.961279
DC5090 / DC2027,1199 FUTURE OF AMERICA LEARNING CENTER / 1199 FUTURE OF AMERCIA  LEARNING CENTER,1199 S E I U CHILD CARE CORPORATION / 1199 SEIU CHILD CARE CORPORATION,2500 CRESTON AVENUE,BRONX,10468,718-562-2915 / 718-562-2915,7457 / 7455,10/31/2015 / 07/31/2015,Permitted / Permitted,0 YEARS - 2 YEARS / 2 YEARS - 5 YEARS,10 / 122,No / No,Private / Private,132,40.8628875,-73.8978805
DC20555,123 STEP AHEAD,DENIZKO DAY CARE INC.,51-07 69 STREET,QUEENS,11377,718-426-0123,10777,1/9/2016,Permitted,2 YEARS - 5 YEARS,26,No,Private,26,40.734894,-73.895731
DC24900 / DC11899,"UNITED BRONX PARENTS, INC. / 1332 FULTON  DAY CARE CENTER","UNITED BRONX PARENTS, INC. / 1332 FULTON AVENUE DAY CARE CENTER, INC.",1332 FULTON AVENUE,BRONX,10456,917-259-7443 / 718-378-1330,29597 / 4055,12/19/2014 / 11/19/2014,Permitted / Permitted,2 YEARS - 5 YEARS / 2 YEARS - 5 YEARS,70 / 97,No / No,ACS Contracted Preschools / ACS Contracted Preschools,167,40.8329374,-73.9023575
DC3070,14TH STREET Y PRESCHOOL OF THE EDUCTIONAL ALLIANCE   (A.K.A GANI ECC),"THE EDUCATIONAL ALLIANCE, INC",344 EAST 14 STREET,MANHATTAN,10003,212-780-0800,6440,7/21/2015,Permitted,2 YEARS - 5 YEARS,88,No,Private,88,40.7313925,-73.9833341
DC961,196 ALBANY AVENUE DAY CARE,"196 ALBANY AVENUE DAY CARE CENTER, INC.",196 ALBANY AVENUE,BROOKLYN,11213,718-773-0071,4003,6/19/2015,Permitted,2 YEARS - 5 YEARS,170,No,ACS Contracted Preschools,170,40.6739275,-73.9392213
DC14772,"1ST IMPRESSION CHILDCARE AND  DEVELOPMENT CENTER, INC.","1ST IMPRESSION CHILDCARE AND DEVELOPMENT CENTER, INC.",881 GERARD AVENUE,BRONX,10452,718-588-3800,7905,8/19/2014,Permitted,2 YEARS - 5 YEARS,41,No,Private,41,40.8283433,-73.9248892
DC20062,"3467 READY, SET,  LEARN L L C","3467 READY, SET, LEARN, L L C",3463-67 3 AVENUE,BRONX,10456,718-665-1234,8178,8/11/2014,Permitted,2 YEARS - 5 YEARS,177,Yes,Private,177,40.8298798,-73.9067654
DC14175 / DC14404,"4 ANGELS DAY CARE, INC - PRESCHOOL PROGRAM / 4 ANGELS DAY CARE INC. - INFANT PROGRAM.",4 ANGELS DAY CARE INC. / 4 ANGELS DAY CARE INC.,245 SIMONSON AVENUE,STATEN ISLAND,10303,718-876-6498 / 718-876-6498,7415 / 7533,07/05/2015 / 07/05/2015,Permitted / Permitted,2 YEARS - 5 YEARS / 0 YEARS - 2 YEARS,21 / 20,Yes / Yes,Private / Private,41,40.630438,-74.1521379
DC2643,"43RD STREET KIDS PRESCHOOL, INC.","43RD STREET KIDS PRESCHOOL, INC.",484 WEST 43 STREET,MANHATTAN,10036,212-564-7496,5185,5/16/2016,Permitted,2 YEARS - 5 YEARS,26,No,Private,26,40.7599572,-73.9947479
DC1187,82ND STREET ACADEMICS,82ND STREET  ACADEMICS INC,81-10 35 AVENUE,QUEENS,11372,718-457-0429,7006,8/11/2014,Permitted,2 YEARS - 5 YEARS,145,No,Private,145,40.7517295,-73.8851022
DC2408,92ND ST. Y NURSERY SCHOOL,92ND ST. Y M & Y W H A,1395 LEXINGTON AVENUE,MANHATTAN,10128,212-415-5532,1940,6/13/2014,Permitted,2 YEARS - 5 YEARS,170,No,Private,170,40.7830623,-73.9526804
DC20033,A & E CAROUSEL DAYCARE,"A & E CAROUSEL DAY CARE,INC.",150 CLERMONT AVENUE,BROOKLYN,11205,718-596-7912,8270,3/31/2015,Permitted,2 YEARS - 5 YEARS,25,No,Private,25,40.693278,-73.9710295
DC14505 / DC1135,ABC ECHO PARK EARLY CHILDHOOD CENTER / A B C  ECHO PARK EARLY CHILDHOOD DEVELOPMENT CENTER,ASSOCIATION TO BENEFIT CHILDREN / ASSOCIATION TO BENEFIT CHILDREN,1841 PARK AVENUE,MANHATTAN,10035,646-459-6028 / 646-459-6028,7344 / 7309,01/28/2016 / 12/15/2014,Permitted / Permitted,0 YEARS - 2 YEARS / 2 YEARS - 5 YEARS,22 / 124,Yes / Yes,Private / ACS Head Start,146,40.805673,-73.938001
DC21753,"A BETTER START,INC.","A BETTER START,INC.",2339 TIEBOUT AVENUE,BRONX,10458,718-676-1796,8404,10/19/2015,Permitted,2 YEARS - 5 YEARS,29,No,Private,29,40.8574997,-73.8967348
