Site ID,Center Name,Permit Holder,Address,Borough,Zip Code,Phone,Permit Number,Permit Expiration Date,Permit Status,Age Range,Maximum Capacity,Certified to Administer Medication,Site Type,Lat,Lon
DC22224,'LITTLE PICKLES'  DAY CARE CENTER,"ERL GROUP, LLC.",2169 CONEY ISLAND AVENUE,BROOKLYN,11223,718-676-1725,13237,03/06/2016,Permitted,2 YEARS - 5 YEARS,17,No,Private,40.60421100000001,-73.96127899999999
DC2027,1199 FUTURE OF AMERCIA  LEARNING CENTER,1199 SEIU CHILD CARE CORPORATION,2500 CRESTON AVENUE,BRONX,10468,718-562-2915,7455,07/31/2015,Permitted,2 YEARS - 5 YEARS,122,No,Private,40.8628875,-73.8978805
DC5090,1199 FUTURE OF AMERICA LEARNING CENTER,1199 S E I U CHILD CARE CORPORATION,2500 CRESTON AVENUE,BRONX,10468,718-562-2915,7457,10/31/2015,Permitted,0 YEARS - 2 YEARS,10,No,Private,40.8628875,-73.8978805
DC20555,123 STEP AHEAD,DENIZKO DAY CARE INC.,51-07 69 STREET,QUEENS,11377,718-426-0123,10777,01/09/2016,Permitted,2 YEARS - 5 YEARS,26,No,Private,40.734894,-73.895731
DC11899,1332 FULTON  DAY CARE CENTER,"1332 FULTON AVENUE DAY CARE CENTER, INC.",1332 FULTON AVENUE,BRONX,10456,718-378-1330,4055,11/19/2014,Permitted,2 YEARS - 5 YEARS,97,No,ACS Contracted Preschools,40.8329374,-73.9023575
DC3070,14TH STREET Y PRESCHOOL OF THE EDUCTIONAL ALLIANCE   (A.K.A GANI ECC),"THE EDUCATIONAL ALLIANCE, INC",344 EAST 14 STREET,MANHATTAN,10003,212-780-0800,6440,07/21/2015,Permitted,2 YEARS - 5 YEARS,88,No,Private,40.7313925,-73.9833341
DC961,196 ALBANY AVENUE DAY CARE,"196 ALBANY AVENUE DAY CARE CENTER, INC.",196 ALBANY AVENUE,BROOKLYN,11213,718-773-0071,4003,06/19/2015,Permitted,2 YEARS - 5 YEARS,170,No,ACS Contracted Preschools,40.6739275,-73.9392213
DC14772,"1ST IMPRESSION CHILDCARE AND  DEVELOPMENT CENTER, INC.","1ST IMPRESSION CHILDCARE AND DEVELOPMENT CENTER, INC.",881 GERARD AVENUE,BRONX,10452,718-588-3800,7905,08/19/2014,Permitted,2 YEARS - 5 YEARS,41,No,Private,40.8283433,-73.9248892
DC20062,"3467 READY, SET,  LEARN L L C","3467 READY, SET, LEARN, L L C",3463-67 3 AVENUE,BRONX,10456,718-665-1234,8178,08/11/2014,Permitted,2 YEARS - 5 YEARS,177,Yes,Private,40.8298798,-73.9067654
DC14404,4 ANGELS DAY CARE INC. - INFANT PROGRAM.,4 ANGELS DAY CARE INC.,245 SIMONSON AVENUE,STATEN ISLAND,10303,718-876-6498,7533,07/05/2015,Permitted,0 YEARS - 2 YEARS,20,Yes,Private,40.630438,-74.1521379
DC14175,"4 ANGELS DAY CARE, INC - PRESCHOOL PROGRAM",4 ANGELS DAY CARE INC.,245 SIMONSON AVENUE,STATEN ISLAND,10303,718-876-6498,7415,07/05/2015,Permitted,2 YEARS - 5 YEARS,21,Yes,Private,40.630438,-74.1521379
DC2643,"43RD STREET KIDS PRESCHOOL, INC.","43RD STREET KIDS PRESCHOOL, INC.",484 WEST 43 STREET,MANHATTAN,10036,212-564-7496,5185,05/16/2016,Permitted,2 YEARS - 5 YEARS,26,No,Private,40.7599572,-73.9947479
DC1187,82ND STREET ACADEMICS,82ND STREET  ACADEMICS INC,81-10 35 AVENUE,QUEENS,11372,718-457-0429,7006,08/11/2014,Permitted,2 YEARS - 5 YEARS,145,No,Private,40.7517295,-73.88510219999999
DC2408,92ND ST. Y NURSERY SCHOOL,92ND ST. Y M & Y W H A,1395 LEXINGTON AVENUE,MANHATTAN,10128,212-415-5532,1940,06/13/2014,Permitted,2 YEARS - 5 YEARS,170,No,Private,40.7830623,-73.95268039999999
DC20033,A & E CAROUSEL DAYCARE,"A & E CAROUSEL DAY CARE,INC.",150 CLERMONT AVENUE,BROOKLYN,11205,718-596-7912,8270,03/31/2015,Permitted,2 YEARS - 5 YEARS,25,No,Private,40.693278,-73.9710295
DC1135,A B C  ECHO PARK EARLY CHILDHOOD DEVELOPMENT CENTER,ASSOCIATION TO BENEFIT CHILDREN,1841 PARK AVENUE,MANHATTAN,10035,646-459-6028,7309,12/15/2014,Permitted,2 YEARS - 5 YEARS,124,Yes,ACS Head Start,40.805673,-73.938001
DC21753,"A BETTER START,INC.","A BETTER START,INC.",2339 TIEBOUT AVENUE,BRONX,10458,718-676-1796,8404,10/19/2015,Permitted,2 YEARS - 5 YEARS,29,No,Private,40.8574997,-73.89673479999999
DC17130,"A CASTLE FOR  CLASSY KIDS LEARNING CENTER, INC.","A CASTLE FOR CLASSY KIDS LEARNING CENTER, INC.",2570 PITKIN AVENUE,BROOKLYN,11208,347-750-8154,8171,05/24/2016,Permitted,2 YEARS - 5 YEARS,39,No,Private,40.6746071,-73.8772986
DC2840,A CHILD'S PLACE PRE SCHOOL,"A CHILD'S PLACE TOO,INC",32-20 108 ST,QUEENS,11369,718-565-2170,6966,04/02/2016,Permitted,2 YEARS - 5 YEARS,104,No,Private,40.7593296,-73.8612759
DC12223,A CHILD'S PLACE TOO,A CHILD'S PLACE NURSERY,32-20 108 ST,QUEENS,11369,718-565-2170,7386,03/25/2015,Permitted,0 YEARS - 2 YEARS,46,No,Private,40.7593296,-73.8612759
DC25663,"A CHILD'S PLACE TOO, INC","A CHILD'S PLACE TOO, INC.",100-10 ASTORIA BLVD.,QUEENS,11369,718-446-0200,51781,09/10/2015,Permitted,2 YEARS - 5 YEARS,45,No,Private,40.761523,-73.8689596
DC2111,A CHILDS HOME DAY CARE,GLORIA PANKY,427 NEW LOTS AVENUE,BROOKLYN,11207,718-927-0373,7395,01/07/2015,Permitted,2 YEARS - 5 YEARS,24,No,Private,40.6626,-73.891949
DC1980,A H R C  HOWARD HABER  E.L.C,"N Y S ASSOCIATION FOR RETARDED CHILDREN,INC.",2300 WESTCHESTER AVENUE,BRONX,10462,718-409-1450,6030,03/17/2015,Permitted,2 YEARS - 5 YEARS,152,Yes,Private,40.8350348,-73.8479705
DC2655,A M A C CHILDREN'S HOUSE,"A M A C, INC.",25 WEST 17 STREET,MANHATTAN,10011,212-645-5005,5950,02/09/2015,Permitted,2 YEARS - 5 YEARS,104,No,Private,40.7386488,-73.99361379999999
DC1523,A NEW DAWN ELEMENTARY & PRE-SCHOOL,"A NEW DAWN ELEMENTARY SCHOOL,INC.",89-14 163 STREET,QUEENS,11432,718-206-1500,6180,05/10/2016,Permitted,2 YEARS - 5 YEARS,20,No,Private,40.7065813,-73.7980862
DC15139,"A TO Z CENTER TOO, INC.","A TO Z CENTER TOO, INC.",220-24 JAMAICA AVENUE,QUEENS,11428,718-740-8400,7605,06/21/2016,Permitted,2 YEARS - 5 YEARS,187,No,Private,40.7192374,-73.7336849
DC17883,A TO Z DAY CARE CENTER,A TO Z DAY CARE CENTER AND AFTER SCHOOL PROGRAM INC.A TO Z DAY CARE CENTER INC.,3053 AVENUE U,BROOKLYN,11229,718-368-1234,7960,12/05/2014,Permitted,2 YEARS - 5 YEARS,54,No,Private,40.601218,-73.9368719
DC1116,A TO Z LEARNING CENTER,A TO Z MANAGEMENT INC.,123-21 JAMAICA AVENUE,QUEENS,11418,718-805-4400,6709,10/11/2015,Permitted,2 YEARS - 5 YEARS,29,No,Private,40.7008194,-73.82654509999999
DC1831,A YOU'RE ADORABLE,"A YOU'RE ADORABLE,INC.",3304 GRISWOLD AVENUE,BRONX,10465,718-863-3455,7137,06/09/2015,Permitted,2 YEARS - 5 YEARS,47,No,Private,40.8448824,-73.81639779999999
DC14857,ABC CASSIDY'S PLACE,ASSOCIATION TO BENEFIT CHILDREN,419 EAST 86TH STREET,MANHATTAN,10028,212-831-1322,6390,08/06/2015,Permitted,2 YEARS - 5 YEARS,120,Yes,Private,40.776764,-73.94839
DC620,ABC CHILD CENTER,"ABC CHILD CENTER,INC",109 NASSAU AVENUE,BROOKLYN,11222,718-389-9004,6084,07/03/2014,Permitted,2 YEARS - 5 YEARS,45,No,Private,40.724395,-73.949659
DC3111,ABC EARLY LEARNING CENTER,ABC EARLY LEARNING CENTER INC.,54-25 LITTLE NECK PKWY,QUEENS,11362,718-225-8044,7216,03/31/2016,Permitted,2 YEARS - 5 YEARS,76,No,Private,40.7603856,-73.72279759999999
DC16933,ABC EARLY LEARNING CENTER OF BAY TERRACE,ABC EARLY LEARNING CENTER INC,208-90 CROSS ISLAND PKWY,QUEENS,11360,718-428-0005,7866,04/09/2014,Expired-InRenewal,2 YEARS - 5 YEARS,36,No,Private,40.788154,-73.78412
DC14505,ABC ECHO PARK EARLY CHILDHOOD CENTER,ASSOCIATION TO BENEFIT CHILDREN,1841 PARK AVENUE,MANHATTAN,10035,646-459-6028,7344,01/28/2016,Permitted,0 YEARS - 2 YEARS,22,Yes,Private,40.805673,-73.938001
DC20590,ABC INFANT & TODDLER CENTER,"ABC INFANT & TODDLER CENTER,INC.",109 NASSAU AVENUE,BROOKLYN,11222,718-389-9004,43577,06/13/2015,Permitted,0 YEARS - 2 YEARS,31,No,Private,40.724395,-73.949659
DC20687,ABC KEITH HARING SCHOOL,ASSOCIATION TO BENEFIT CHILDREN,318 EAST 116TH STREET,MANHATTAN,10029,212-426-3960,53757,11/01/2015,Permitted,0 YEARS - 2 YEARS,10,No,Head Start (Direct Fed. Funding),40.796341,-73.936959
DC22552,ABC KIDDIE LAND DAY CARE CENTER,"ABC KIDDIE LAND, INC.",67-05  ROOSEVELT AVENUE,QUEENS,11377,718-651-3551,26898,11/07/2014,Permitted,2 YEARS - 5 YEARS,26,No,Private,40.746434,-73.89788999999999
DC10481,ABC KIDDIELAND DAY CARE CENTER,"ABC KIDDIELAND, INC",65-21 ROOSEVELT AVE,QUEENS,11377,718-651-3551,7571,03/19/2016,Permitted,2 YEARS - 5 YEARS,22,No,Private,40.7461173,-73.8982884
DC15616,ABC MINISTRY AND COUNSELING CENTER,"ABC MINISTRY AND COUNSELING CENTER, INC",9302  AVENUE B,BROOKLYN,11236,718-498-8937,7738,04/19/2015,Permitted,2 YEARS - 5 YEARS,46,No,Private,40.650813,-73.913809
