Site ID,Visit Date,Regulation Summary,Violation Category,Code-Sub-Section,Violation Status
DC22224,03/21/2014,At time of inspection it was determined that child care service allows staff to perform their duties that are not healthy or are incapable of carrying out their duties. Staff medical clearances are not maintained by child care service.,CRITICAL,47.33 (b),CORRECTED
DC22224,03/21/2014,At time of inspection it was determined that child care service failed to ensure staff received required training within time frames and/or failed to maintain training records.,GENERAL,47.37 (b)(1),CORRECTED
DC2027,12/18/2013,There were no new violations observed at the time of this inspection/visit.,"
",,
DC5090,12/18/2013,There were no new violations observed at the time of this inspection/visit.,"
",,
DC20555,02/04/2014,There were no new violations observed at the time of this inspection/visit.,"
",,
DC11899,04/10/2014,Child care service teaching staff acting as assistant teachers do not meet age and educational requirements.,GENERAL,47.13 (f),CORRECTED
DC11899,04/10/2014,Child care service failed to conduct business and employment reference checks of staff/volunteers.,GENERAL,47.19 (i),CORRECTED
DC11899,04/10/2014,At time of inspection child care service unable to document that all children enrolled have had age appropriate immunizations unless a child is exempt.,CRITICAL,47.25 (a)(2),CORRECTED
DC11899,04/10/2014,At time of inspection it was determined that child care service allows staff to perform their duties that are not healthy or are incapable of carrying out their duties. Staff medical clearances are not maintained by child care service.,CRITICAL,47.33 (b),CORRECTED
DC11899,04/10/2014,Child care service failed to provide or maintain record of staff immunizations.,GENERAL,47.33 (c),CORRECTED
DC11899,04/10/2014,At time of inspection it was determined that child care service failed to ensure staff received required training within time frames and/or failed to maintain training records.,GENERAL,47.37 (b)(1),CORRECTED
DC3070,05/01/2014,At time of inspection hand wash sinks are not supplied with an adequate amount of running water. At time of inspection water temperature exceeded 115 deg Fahrenheit.,CRITICAL,47.43 (e)+,CORRECTED
DC3070,05/01/2014,Fire extinguishers observed not to be inspected or maintained at time of inspection.,PUBLIC HEALTH HAZARD,47.59 (b)+*,CORRECTED
DC961,05/07/2014,At time of inspection floors/walls ceilings were observed not maintained; in disrepair or covered in a toxic finish.,GENERAL,47.41 (j),CORRECTED
DC961,05/07/2014,At time of inspection child care service failed to provide sufficient lighting and or failed to maintain adequate foot candles in areas used by children.,GENERAL,47.45 (b),CORRECTED
DC961,05/07/2014,At time of inspection child care service facility observed not maintained or in disrepair. Dry sweeping observed in areas occupied by children.,CRITICAL,47.49 (a),CORRECTED
DC961,05/07/2014,Exits and other egress not provided with required signage at time of inspection.,CRITICAL,47.59 (a),CORRECTED
DC14772,12/05/2013,There were no new violations observed at the time of this inspection/visit.,"
",,
DC20062,05/15/2014,Child care service failed to provide constant and competent supervision for children within its care.,PUBLIC HEALTH HAZARD,47.23 (a)(b)*,
DC20062,05/15/2014,At time of inspection child care service unable to document that all children enrolled have had an age appropriate medical evaluation.,CRITICAL,47.25 (a)(1),
DC14404,05/14/2014,There were no new violations observed at the time of this inspection/visit.,"
",,
DC14175,05/14/2014,There were no new violations observed at the time of this inspection/visit.,"
",,
DC2643,04/01/2014,There were no new violations observed at the time of this inspection/visit.,"
",,
DC1187,05/28/2014,Child care service failed to arrange/conduct criminal/SCR background clearance checks for required individuals; failed to re-clear required individuals with the SCR every two years.,PUBLIC HEALTH HAZARD,47.19 (c)*,
DC1187,05/28/2014,At time of inspection it was determined that child care service allows staff to perform their duties that are not healthy or are incapable of carrying out their duties. Staff medical clearances are not maintained by child care service.,CRITICAL,47.33 (b),
DC1187,05/28/2014,Child care service failed to provide or maintain record of staff immunizations.,GENERAL,47.33 (c),
DC1187,05/28/2014,Child care service failed to provide or maintain record of staff immunizations.,GENERAL,47.33 (c),CORRECTED
DC2408,10/24/2013,At time of inspection it was determined that child care service failed to take any and all necessary action to eliminate potential hazards.,CRITICAL,47.57 (b),CORRECTED
DC2408,10/24/2013,Fire extinguishers observed not to be inspected or maintained at time of inspection.,PUBLIC HEALTH HAZARD,47.59 (b)+*,CORRECTED
DC20033,03/06/2014,At time of inspection floors/walls ceilings were observed not maintained; in disrepair or covered in a toxic finish.,GENERAL,47.41 (j),CORRECTED
DC1135,04/16/2014,There were no new violations observed at the time of this inspection/visit.,"
",,
DC21753,04/03/2014,There were no new violations observed at the time of this inspection/visit.,"
",,
DC17130,03/24/2014,At time of inspection child care service unable to document that all children enrolled have had an age appropriate medical evaluation.,CRITICAL,47.25 (a)(1),CORRECTED
DC17130,03/24/2014,At time of inspection child care service unable to document that all children enrolled have had age appropriate immunizations unless a child is exempt.,CRITICAL,47.25 (a)(2),CORRECTED
DC2840,02/12/2014,Child care service staff identified/acting as group teachers do not meet the required qualifications of the position.,GENERAL,47.13 (d),CORRECTED
DC12223,03/06/2014,There were no new violations observed at the time of this inspection/visit.,"
",,
DC25663,02/25/2014,At time of inspection child care service facility observed not maintained or in disrepair. Dry sweeping observed in areas occupied by children.,CRITICAL,47.49 (a),CORRECTED
DC25663,02/25/2014,Individual certified in food protection not on site during periods of food preparation.,CRITICAL,81.15 (a),CORRECTED
DC2111,04/10/2014,Child care service failed to designate/identify a qualified Education Director.,CRITICAL,47.13 (c),
DC2111,04/10/2014,Child care service failed to arrange/conduct criminal/SCR background clearance checks for required individuals; failed to re-clear required individuals with the SCR every two years.,PUBLIC HEALTH HAZARD,47.19 (c)*,
DC2111,04/10/2014,At time of inspection it was determined that child care service allows staff to perform their duties that are not healthy or are incapable of carrying out their duties. Staff medical clearances are not maintained by child care service.,CRITICAL,47.33 (b),
DC2111,04/10/2014,Child care service failed to provide or maintain record of staff immunizations.,GENERAL,47.33 (c),
DC2111,04/10/2014,At time of inspection it was determined that child care service failed to ensure staff received required training within time frames and/or failed to maintain training records.,GENERAL,47.37 (b)(1),
DC2111,04/10/2014,All teachers have not received training in infectious disease control and reporting.,GENERAL,47.37(b)(2),
DC1980,10/30/2013,Fire extinguishers observed not to be inspected or maintained at time of inspection.,PUBLIC HEALTH HAZARD,47.59 (b)+*,CORRECTED
DC2655,09/10/2013,At time of inspection it was observed in the child care service that a bathroom/closet or other enclosed space has a locking mechanism solely operable from inside the space.,CRITICAL,47.41 (i)+,CORRECTED
DC2655,09/10/2013,Exits and other egress not provided with required signage at time of inspection.,CRITICAL,47.59 (a),CORRECTED
DC1523,05/05/2014,At time of inspection child care service facility observed not maintained or in disrepair. Dry sweeping observed in areas occupied by children.,CRITICAL,47.49 (a),CORRECTED
DC15139,05/06/2014,There were no new violations observed at the time of this inspection/visit.,"
",,
DC17883,03/07/2014,Child care service failed to provide or maintain record of staff immunizations.,GENERAL,47.33 (c),CORRECTED
DC1116,03/25/2014,There were no new violations observed at the time of this inspection/visit.,"
",,
DC1831,03/27/2014,Child care service failed to designate/identify a qualified Education Director.,CRITICAL,47.13 (c),CORRECTED
DC14857,02/10/2014,At time of inspection it was determined/observed that food service worker not provided with appropriate food thermometer during food prep.,GENERAL,81.09 (i),CORRECTED
DC620,05/28/2014,Permittee failed to submit permit renewal application at least 90 days prior to permit expiration date.,CRITICAL,47.09 (c),
DC620,05/28/2014,Child care service failed to provide or maintain record of staff immunizations.,GENERAL,47.33 (c),
DC620,05/28/2014,All teachers have not received training in infectious disease control and reporting.,GENERAL,47.37(b)(2),
DC620,05/28/2014,Child care service Assistant Teacher staff have failed to take required 15 hours of training every 24 months.,GENERAL,47.37(d),
DC3111,06/03/2014,At time of inspection floors/walls ceilings were observed not maintained; in disrepair or covered in a toxic finish.,GENERAL,47.41 (j),
DC3111,06/03/2014,At time of inspection child care service facility observed not maintained or in disrepair. Dry sweeping observed in areas occupied by children.,CRITICAL,47.49 (a),
DC16933,03/17/2014,Child care service failed to arrange/conduct criminal/SCR background clearance checks for required individuals; failed to re-clear required individuals with the SCR every two years.,PUBLIC HEALTH HAZARD,47.19 (c)*,CORRECTED
DC14505,04/16/2014,There were no new violations observed at the time of this inspection/visit.,"
",,
DC20590,05/28/2014,There were no new violations observed at the time of this inspection/visit.,"
",,
DC22552,12/17/2013,There were no new violations observed at the time of this inspection/visit.,"
",,
DC10481,02/27/2014,There were no new violations observed at the time of this inspection/visit.,"
",,
DC15616,05/08/2014,Required food protection procedures were not implemented at time of inspection. Holder of food protection certificate was not on site during hours of food preparation activity.,PUBLIC HEALTH HAZARD,47.61 (a)*,
DC16811,05/08/2014,At time of inspection it was determined that child care service failed to take any and all necessary action to eliminate potential hazards.,CRITICAL,47.57 (b),CORRECTED
DC16811,05/08/2014,Child care service fails to provide/maintain fire alarm when required.,PUBLIC HEALTH HAZARD,47.59 (c)+*,CORRECTED
DC1155,05/05/2014,There were no new violations observed at the time of this inspection/visit.,"
",,
DC1164,05/05/2014,There were no new violations observed at the time of this inspection/visit.,"
",,
DC15271,10/28/2013,At time of inspection hallways and other means of egress were observed obstructed and impassable.,PUBLIC HEALTH HAZARD,47.41 (f)*,CORRECTED
DC15271,10/28/2013,At time of inspection hand wash sinks are not supplied with an adequate amount of running water. At time of inspection water temperature exceeded 115 deg Fahrenheit.,CRITICAL,47.43 (e)+,CORRECTED
DC15271,10/28/2013,Exits and other egress not provided with required signage at time of inspection.,CRITICAL,47.59 (a),CORRECTED
DC18804,10/01/2013,"Appropriate and clean cots, linens and other sleeping arrangements not provided by child care service at time of inspection.",CRITICAL,47.55 (b),CORRECTED
DC18804,10/01/2013,Exits and other egress not provided with required signage at time of inspection.,CRITICAL,47.59 (a),CORRECTED
DC18804,10/01/2013,At time of inspection it was determined that child care service failed to conduct and document monthly fire drills.,CRITICAL,47.59 (d),CORRECTED
DC1500,04/24/2014,At time of inspection it was observed that child care service failed to provide appropriate guards on designated structures/equipment to protect children from potential injury.,CRITICAL,47.41 (h),CORRECTED
DC1500,04/24/2014,At time of inspection child care service failed to provide sufficient number of toilets and sinks for the number of children in attendance.,CRITICAL,47.43 (b)+,CORRECTED
DC1500,04/24/2014,At time of inspection child care service failed to provide sufficient lighting and or failed to maintain adequate foot candles in areas used by children.,GENERAL,47.45 (b),CORRECTED
DC1500,04/24/2014,Child care service not free of pests or maintains pest harborage conditions at time of inspection.,CRITICAL,47.51 (a),CORRECTED
DC1500,04/24/2014,At time of inspection it was determined that child care service failed to take any and all necessary action to eliminate potential hazards.,CRITICAL,47.57 (b),CORRECTED
DC1500,04/24/2014,Exits and other egress not provided with required signage at time of inspection.,CRITICAL,47.59 (a),CORRECTED
DC1500,04/24/2014,Fire extinguishers observed not to be inspected or maintained at time of inspection.,PUBLIC HEALTH HAZARD,47.59 (b)+*,CORRECTED
DC1500,04/24/2014,Adequate plumbing not provided or maintained at time of inspection.,GENERAL,81.21 (a),CORRECTED
DC2026,05/01/2014,At time of inspection it was determined that child care service failed to conduct and document monthly fire drills.,CRITICAL,47.59 (d),CORRECTED
DC25095,06/04/2014,There were no new violations observed at the time of this inspection/visit.,"
",,
DC18898,05/01/2014,There were no new violations observed at the time of this inspection/visit.,"
",,
DC14291,01/15/2014,There were no new violations observed at the time of this inspection/visit.,"
",,
DC747,05/02/2014,Child care service failed to conduct business and employment reference checks of staff/volunteers.,GENERAL,47.19 (i),CORRECTED
DC747,05/02/2014,At time of inspection child care service unable to document that all children enrolled have had an age appropriate medical evaluation.,CRITICAL,47.25 (a)(1),CORRECTED
DC747,05/02/2014,At time of inspection child care service unable to document that all children enrolled have had age appropriate immunizations unless a child is exempt.,CRITICAL,47.25 (a)(2),CORRECTED
DC747,05/02/2014,At time of inspection it was determined that child care service allows staff to perform their duties that are not healthy or are incapable of carrying out their duties. Staff medical clearances are not maintained by child care service.,CRITICAL,47.33 (b),CORRECTED
DC2198,03/05/2014,There were no new violations observed at the time of this inspection/visit.,"
",,
DC19634,01/08/2014,At time of inspection child care service facility observed not maintained or in disrepair. Dry sweeping observed in areas occupied by children.,CRITICAL,47.49 (a),CORRECTED
DC14287,12/04/2013,There were no new violations observed at the time of this inspection/visit.,"
",,
DC962,12/18/2013,There were no new violations observed at the time of this inspection/visit.,"
",,
DC22513,02/27/2014,There were no new violations observed at the time of this inspection/visit.,"
",,
DC24683,11/19/2013,There were no new violations observed at the time of this inspection/visit.,"
",,
DC2981,02/19/2014,At time of inspection floors/walls ceilings were observed not maintained; in disrepair or covered in a toxic finish.,GENERAL,47.41 (j),
DC1229,10/29/2013,There were no new violations observed at the time of this inspection/visit.,"
",,
DC19051,03/20/2014,At time of inspection child care service facility observed not maintained or in disrepair. Dry sweeping observed in areas occupied by children.,CRITICAL,47.49 (a),
DC14230,02/24/2014,There were no new violations observed at the time of this inspection/visit.,"
",,
DC1211,02/24/2014,There were no new violations observed at the time of this inspection/visit.,"
",,
DC19052,03/31/2014,At time of inspection child care service facility observed not maintained or in disrepair. Dry sweeping observed in areas occupied by children.,CRITICAL,47.49 (a),CORRECTED
DC21684,02/20/2014,At time of inspection floors/walls ceilings were observed not maintained; in disrepair or covered in a toxic finish.,GENERAL,47.41 (j),CORRECTED
